證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1232,2015年第3季,,              4424889,,              4004540,                420349,                420349,,,                102660,,                 51688,,                  1154,                155502,                264847,,,                  7319,,                 61574,,                    480,                 68413,                333260,,                 56654,                276606,                276606,,,                              0,                              0,                              0,                276606,,                274368,                  2238,,                274368,                  2238,,                              1.72,                              1.72,,                              1.71,                              1.71,,,
1232,2015年第2季,,              4190211,,              3828116,                362095,                362095,,,                 95889,,                 35970,,                  1019,                132878,                229217,,,                  6690,,                 -8316,,                    282,                 -1908,                227309,,                 48540,                178769,                178769,,,                              0,                              0,                              0,                178769,,                176713,                  2056,,                176713,                  2056,,                              1.10,                              1.10,,                              1.10,                              1.10,,,
1232,2015年01月01日至2015年09月30日,,             13366089,,             12139049,              1227040,              1227040,,,                300692,,                136259,,                  3076,                440027,                787013,,,                 22769,,                 45934,,                  1403,                 67300,                854313,,                154978,                699335,                699335,,,                    222,                    222,                    222,                699557,,                693034,                  6301,,                693256,                  6301,,                              4.33,                              4.33,,                              4.32,                              4.32,,,
1232,2015年01月01日至2015年06月30日,,              8941200,,              8134509,                806691,                806691,,,                198032,,                 84571,,                  1922,                284525,                522166,,,                 15450,,                -15640,,                    923,                 -1113,                521053,,                 98324,                422729,                422729,,,                    222,                    222,                    222,                422951,,                418666,                  4063,,                418888,                  4063,,                              2.62,                              2.62,,                              2.61,                              2.61,,,
1232,2015年01月01日至2015年03月31日,,              4750989,,              4306393,                444596,                444596,,,                102143,,                 48601,,                    903,                151647,                292949,,,                  8760,,                 -7324,,                    641,                    795,                293744,,                 49784,                243960,                243960,,,                    222,                    222,                    222,                244182,,                241953,                  2007,,                242175,                  2007,,                              1.51,                              1.51,,                              1.51,                              1.51,,,
1232,2014年第3季,,              5414702,,              5130787,                283915,                283915,,,                 98213,,                 35208,,                    898,                134319,                149596,,,                  2785,,                 28215,,                  1364,                 29636,                179232,,                 27845,                151387,                151387,,,                 -1030,                 -1030,                 -1030,                150357,,                149227,                  2160,,                148197,                  2160,,                              0.93,                              0.93,,                              0.93,                              0.93,,,
1232,2014年第2季,,              5402908,,              5068827,                334081,                334081,,,                 93890,,                 41828,,                    947,                136665,                197416,,,                  4630,,                -15939,,                  1062,                -12371,                185045,,                 37020,                148025,                148025,,,                  4300,                  4300,                  4300,                152325,,                146965,                  1060,,                151265,                  1060,,                              0.92,                              0.92,,                              0.92,                              0.92,,,
1232,2014年度,,             21849462,,             20178839,              1670623,              1670623,,,                404201,,                176070,,                  3739,                584010,              1086613,,,                 19238,,                102144,,                  3831,                117551,              1204164,,                209235,                994929,                994929,,,,,                  8844,              1003773,,                987441,                  7488,,                996001,                  7772,,                              6.17,                              6.17,,                              6.16,                              6.16,                  4924,                  4723,                    803
1232,2014年01月01日至2014年09月30日,,             16344542,,             15274483,              1070059,              1070059,,,                287877,,                121458,,                  2791,                412126,                657933,,,                 12449,,                 48050,,                  3236,                 57263,                715196,,                125128,                590068,                590068,,,                  2179,                  2179,                  2179,                592247,,                585258,                  4810,,                587437,                  4810,,                              3.66,                              3.66,,                              3.65,                              3.65,,,
1232,2014年01月01日至2014年06月30日,,             10929840,,             10143696,                786144,                786144,,,                189664,,                 86250,,                  1893,                277807,                508337,,,                  9664,,                 19835,,                  1872,                 27627,                535964,,                 97283,                438681,                438681,,,                  3209,                  3209,                  3209,                441890,,                436031,                  2650,,                439240,                  2650,,                              2.73,                              2.73,,                              2.72,                              2.72,,,
1232,2014年01月01日至2014年03月31日,,              5526932,,              5074869,                452063,                452063,,,                 95774,,                 44422,,                    946,                141142,                310921,,,                  5034,,                 35774,,                    810,                 39998,                350919,,                 60263,                290656,                290656,,,                 -1091,                 -1091,                 -1091,                289565,,                289066,                  1590,,                287975,                  1590,,                              1.81,                              1.81,,                              1.81,                              1.81,,,
1232,2013年第3季,,              4835930,,              4572461,                263469,                263469,,,                 88744,,                 35981,,                    854,                125579,                137890,,,                  5700,,                -14939,,                  1632,                -10871,                127019,,                 21593,                105426,                105426,,,,,                   -908,                104518,,                103913,                  1513,,                103005,                  1513,,                              0.65,                              0.65,,                              0.65,                              0.65,                   -908,,
1232,2013年第2季,,              4981879,,              4671128,                310751,                310751,,,                 88533,,                 33542,,                    869,                122944,                187807,,,                  4017,,                 21763,,                    661,                 25119,                212926,,                 28229,                184697,                184697,,,,,                 -4178,                180519,,                183015,                  1682,,                178837,                  1682,,                              1.14,                              1.14,,                              1.14,                              1.14,                 -4178,,
1232,2013年度,,             20047360,,             18773322,              1274038,              1274038,,,                362304,,                148746,,                  3666,                514716,                759322,,,                 21156,,                 75443,,                  3703,                 92896,                852218,,                138550,                713668,                713668,,,,,                -30928,                682740,,                706875,                  6793,,                675826,                  6914,,                              4.42,                              4.42,,                              4.41,                              4.41,                 -5146,                -31063,                 -5281
1232,2013年07月01日至2013年09月30日,,              4835930,,              4572461,                263469,                263469,,,                 88744,,                 35981,,                    854,                125579,                137890,,,                  5700,,                -14939,,                  1632,                -10871,                127019,,                 21593,                105426,                105426,,,,,                   -908,                104518,,                103913,                  1513,,                103005,                  1513,,                              0.65,                              0.65,,                              0.65,                              0.65,                   -908,,
1232,2013年04月01日至2013年06月30日,,              4981879,,              4671128,                310751,                310751,,,                 88533,,                 33542,,                    869,                122944,                187807,,,                  4017,,                 21763,,                    661,                 25119,                212926,,                 28229,                184697,                184697,,,,,                 -4178,                180519,,                183015,                  1682,,                178837,                  1682,,                              1.14,                              1.14,,                              1.14,                              1.14,                 -4178,,
1232,2013年01月01日至2013年12月31日,,             20047360,,             18773322,              1274038,              1274038,,,                362304,,                148746,,                  3666,                514716,                759322,,,                 21156,,                 75443,,                  3703,                 92896,                852218,,                138550,                713668,                713668,,,,,                -30928,                682740,,                706875,                  6793,,                675826,                  6914,,                              4.42,                              4.42,,                              4.41,                              4.41,                 -5146,                -31063,                 -5281
1232,2013年01月01日至2013年09月30日,,             14700294,,             13793301,                906993,                906993,,,                262852,,                105493,,                  2599,                370944,                536049,,,                 12645,,                 53811,,                  2965,                 63491,                599540,,                 96809,                502731,                502731,,,,,                 -1695,                501036,,                497927,                  4804,,                496232,                  4804,,                              3.11,                              3.11,,                              3.11,                              3.11,                 -1695,,
1232,2013年01月01日至2013年06月30日,,              9864364,,              9220840,                643524,                643524,,,                174108,,                 69512,,                  1745,                245365,                398159,,,                  6945,,                 68750,,                  1333,                 74362,                472521,,                 75216,                397305,                397305,,,,,                   -787,                396518,,                394014,                  3291,,                393227,                  3291,,                              2.46,                              2.46,,                              2.46,                              2.46,                   -787,,
1232,2013年01月01日至2013年03月31日,,              4882485,,              4549712,                332773,                332773,,,                 85575,,                 35970,,                    876,                122421,                210352,,,                  2928,,                 46987,,                    672,                 49243,                259595,,                 46987,                212608,                212608,,,,,                  3391,                215999,,                210999,                  1609,,                214390,                  1609,,                              1.32,                              1.32,,                              1.32,                              1.32,                  3391,,
1232,2012年07月01日至2012年09月30日,,              5378385,,              5077166,                301219,                301219,,,                 79585,,                 31337,,                    825,                111747,                189472,,,                  3848,,                -26107,,                  1606,                -23865,                165607,,                 28415,                137192,                137192,,,,,                 -1998,                135194,,                136224,                    968,,                134226,                    968,,                              0.85,                              0.85,,                              0.85,                              0.85,                 -1998,,
1232,2012年04月01日至2012年06月30日,,              4421078,,              4138979,                282099,                282099,,,                 78188,,                 28234,,                    823,                107245,                174854,,,                  2803,,                 33233,,                    918,                 35118,                209972,,                 37741,                172231,                172231,,,,,                 -1756,                170475,,                171239,                    992,,                169483,                    992,,                              1.07,                              1.07,,                              1.07,                              1.07,                 -1756,,
1232,2012年01月01日至2012年12月31日,,             19035621,,             17979698,              1055923,              1055923,,,                314987,,                114728,,                  3322,                433037,                622886,,,                 13814,,                -64300,,                  5614,                -56100,                566786,,                113317,                453469,                453469,,,,,                 52156,                505625,,                448107,                  5362,,                500081,                  5544,,                              2.80,                              2.80,,                              2.80,                              2.80,                 47713,                  5353,                    910
1232,2012年01月01日至2012年09月30日,,             14090452,,             13224341,                866111,                866111,,,                233900,,                 90105,,                  2509,                326514,                539597,,,                 10686,,                -23121,,                  3501,                -15936,                523661,,                 90396,                433265,                433265,,,,,                 -1877,                431388,,                429865,                  3400,,                427988,                  3400,,                              2.69,                              2.69,,                              2.68,                              2.68,                 -1877,,
1232,2012年01月01日至2012年06月30日,,              8712067,,              8147175,                564892,                564892,,,                154315,,                 58768,,                  1684,                214767,                350125,,,                  6838,,                  2986,,                  1895,                  7929,                358054,,                 61981,                296073,                296073,,,,,                    121,                296194,,                293641,                  2432,,                293762,                  2432,,                              1.84,                              1.84,,                              1.83,                              1.83,                    121,,
1232,2012年01月01日至2012年03月31日,,              4290989,,              4008196,                282793,                282793,,,                 76127,,                 30534,,                    861,                107522,                175271,,,                  4035,,                -30247,,                    977,                -27189,                148082,,                 24240,                123842,                123842,,,,,                  1877,                125719,,                122402,                  1440,,                124279,                  1440,,                              0.77,                              0.77,,                              0.76,                              0.76,                  1877,,
